"VIXKRM2.Code.or.Value","VIXKRM2.Value.Description","VIXKRM2.Count","VIXKRM2.Cumulative","VIXKRM2.Skip.to.Item"
"5.27 to 9.25","Range of Values",6969,6969,NA
"88","Could not obtain",42,7011,NA
".","Missing",434,7445,NA
