"ALQ150.Code.or.Value","ALQ150.Value.Description","ALQ150.Count","ALQ150.Cumulative","ALQ150.Skip.to.Item"
"1","Yes",600,600,NA
"2","No",3079,3679,NA
"7","Refused",0,3679,NA
"9","Don't know",0,3679,NA
".","Missing",1063,4742,NA
