"SSEBVIND.Code.or.Value","SSEBVIND.Value.Description","SSEBVIND.Count","SSEBVIND.Cumulative","SSEBVIND.Skip.to.Item"
"0 to 6.69","Range of Values",2174,2174,NA
".","Missing",0,2174,NA
