"BPXSY4.Code.or.Value","BPXSY4.Value.Description","BPXSY4.Count","BPXSY4.Cumulative","BPXSY4.Skip.to.Item"
"80 to 214","Range of Values",225,225,NA
".","Missing",9537,9762,NA
