"DCQ400.Code.or.Value","DCQ400.Value.Description","DCQ400.Count","DCQ400.Cumulative","DCQ400.Skip.to.Item"
"1","Dirtier than average",197,197,NA
"2","Average",735,932,NA
"3","Cleaner than average",325,1257,NA
".","Missing",73,1330,NA
