"LBXBCD.Code.or.Value","LBXBCD.Value.Description","LBXBCD.Count","LBXBCD.Cumulative","LBXBCD.Skip.to.Item"
"0.2 to 8.81","Range of Values",5254,5254,NA
"0.14","Below Detection Limit Fill Value",3012,8266,NA
".","Missing",1041,9307,NA
