"LBCD01.Code.or.Value","LBCD01.Value.Description","LBCD01.Count","LBCD01.Cumulative","LBCD01.Skip.to.Item"
"1.556 to 67.65","Range of Values",292,292,NA
".","Missing",9,301,NA
