"RFXT169.Code.or.Value","RFXT169.Value.Description","RFXT169.Count","RFXT169.Cumulative","RFXT169.Skip.to.Item"
"1477 to 1486","Range of Values",51049,51049,NA
".","Missing",27,51076,NA
