"DR2TMFAT.Code.or.Value","DR2TMFAT.Value.Description","DR2TMFAT.Count","DR2TMFAT.Cumulative","DR2TMFAT.Skip.to.Item"
"0 to 150.233","Range of Values",8288,8288,NA
".","Missing",1965,10253,NA
