"MCQ170L.Code.or.Value","MCQ170L.Value.Description","MCQ170L.Count","MCQ170L.Cumulative","MCQ170L.Skip.to.Item"
"1","Yes",78,78,"MCQ180L"
"2","No",75,153,"MCQ180L"
"7","Refused",1,154,"MCQ180L"
"9","Don't know",16,170,"MCQ180L"
".","Missing",9475,9645,""
