"URXTTC.Code.or.Value","URXTTC.Value.Description","URXTTC.Count","URXTTC.Cumulative","URXTTC.Skip.to.Item"
"7.9 to 1130","Range of Values",2504,2504,NA
".","Missing",101,2605,NA
