"PHAANTMN.Code.or.Value","PHAANTMN.Value.Description","PHAANTMN.Count","PHAANTMN.Cumulative","PHAANTMN.Skip.to.Item"
"7 to 43","Range of Values",10,10,NA
".","Missing",9430,9440,NA
