"DEQ038G.Code.or.Value","DEQ038G.Value.Description","DEQ038G.Count","DEQ038G.Cumulative","DEQ038G.Skip.to.Item"
"1","Enter number",1408,1408,NA
"2","Never",2509,3917,NA
"7","Refused",0,3917,NA
"9","Don't know",10,3927,NA
".","Missing",1,3928,NA
