"AUDTYR84.Code.or.Value","AUDTYR84.Value.Description","AUDTYR84.Count","AUDTYR84.Cumulative","AUDTYR84.Skip.to.Item"
"0","0",2160,2160,NA
".","Missing",208,2368,NA
