"HEQ010.Code.or.Value","HEQ010.Value.Description","HEQ010.Count","HEQ010.Cumulative","HEQ010.Skip.to.Item"
"1","Yes",92,92,""
"2","No",8238,8330,"HEQ030"
"7","Refused",1,8331,"HEQ030"
"9","Don't know",35,8366,"HEQ030"
".","Missing",1,8367,""
