"FSD170N.Code.or.Value","FSD170N.Value.Description","FSD170N.Count","FSD170N.Cumulative","FSD170N.Skip.to.Item"
"1 to 6","Range of Values",1443,1443,NA
"7","7 or more",49,1492,NA
"77","Refused",0,1492,NA
"99","Don't know",12,1504,NA
".","Missing",8461,9965,NA
