"LBXTHG.Code.or.Value","LBXTHG.Value.Description","LBXTHG.Count","LBXTHG.Cumulative","LBXTHG.Skip.to.Item"
"0.1 to 38.9","Range of Values",2414,2414,NA
".","Missing",6418,8832,NA
