"DS2IMAGN.Code.or.Value","DS2IMAGN.Value.Description","DS2IMAGN.Count","DS2IMAGN.Cumulative","DS2IMAGN.Skip.to.Item"
"0.4 to 1548","Range of Values",1328,1328,NA
".","Missing",4371,5699,NA
