"DRQ350HQ.Code.or.Value","DRQ350HQ.Value.Description","DRQ350HQ.Count","DRQ350HQ.Cumulative","DRQ350HQ.Skip.to.Item"
"1 to 30","Range of Values",2834,2834,NA
".","Missing",6448,9282,NA
