"LBXMMA.Code.or.Value","LBXMMA.Value.Description","LBXMMA.Count","LBXMMA.Cumulative","LBXMMA.Skip.to.Item"
"0.04 to 35.96","Range of Values",7597,7597,NA
".","Missing",1235,8832,NA
