"AUXU3KL.Code.or.Value","AUXU3KL.Value.Description","AUXU3KL.Count","AUXU3KL.Cumulative","AUXU3KL.Skip.to.Item"
"-10 to 110","Range of Values",1765,1765,NA
"666","No response",2,1767,NA
"888","Could not obtain",1,1768,NA
".","Missing",121,1889,NA
