"TYXP219.Code.or.Value","TYXP219.Value.Description","TYXP219.Count","TYXP219.Cumulative","TYXP219.Skip.to.Item"
"-298 to -24","Range of Values",365,365,NA
".","Missing",8104,8469,NA
