"WBXF032.Code.or.Value","WBXF032.Value.Description","WBXF032.Count","WBXF032.Cumulative","WBXF032.Skip.to.Item"
"917.004 to 917.004","Range of Values",8554,8554,NA
".","Missing",0,8554,NA
