"LBXHCT.Code.or.Value","LBXHCT.Value.Description","LBXHCT.Count","LBXHCT.Cumulative","LBXHCT.Skip.to.Item"
"0.011 to 1520","Range of Values",7101,7101,NA
".","Missing",835,7936,NA
