"DR2TATOC.Code.or.Value","DR2TATOC.Value.Description","DR2TATOC.Count","DR2TATOC.Cumulative","DR2TATOC.Skip.to.Item"
"0 to 72.23","Range of Values",8220,8220,NA
".","Missing",1423,9643,NA
