"LBXSF5SI.Code.or.Value","LBXSF5SI.Value.Description","LBXSF5SI.Count","LBXSF5SI.Cumulative","LBXSF5SI.Skip.to.Item"
"0.24 to 4.38","Range of Values",7483,7483,NA
".","Missing",1473,8956,NA
