"DR2IP226.Code.or.Value","DR2IP226.Value.Description","DR2IP226.Count","DR2IP226.Cumulative","DR2IP226.Skip.to.Item"
"0 to 3.175","Range of Values",99780,99780,NA
".","Missing",900,100680,NA
