"OSD110c.Code.or.Value","OSD110c.Value.Description","OSD110c.Count","OSD110c.Cumulative","OSD110c.Skip.to.Item"
"20 to 60","Range of Values",18,18,NA
"80","80 or older",2,20,NA
"777","Refused",0,20,NA
"999","Don't know",0,20,NA
".","Missing",3795,3815,NA
