"OCQ180.Code.or.Value","OCQ180.Value.Description","OCQ180.Count","OCQ180.Cumulative","OCQ180.Skip.to.Item"
"1 to 160","Range of Values",2913,2913,NA
"77777","Refused",0,2913,NA
"99999","Don't know",1,2914,NA
".","Missing",3299,6213,NA
