"OHAROCGP.Code.or.Value","OHAROCGP.Value.Description","OHAROCGP.Count","OHAROCGP.Cumulative","OHAROCGP.Skip.to.Item"
"1","Yes",261,261,NA
"2","No",6,267,NA
".","Missing",8898,9165,NA
