"LBXGH.Code.or.Value","LBXGH.Value.Description","LBXGH.Count","LBXGH.Cumulative","LBXGH.Skip.to.Item"
"3.8 to 17","Range of Values",6326,6326,NA
".","Missing",418,6744,NA
