"BMXTRI.Code.or.Value","BMXTRI.Value.Description","BMXTRI.Count","BMXTRI.Cumulative","BMXTRI.Skip.to.Item"
"2.6 to 41.1","Range of Values",9358,9358,NA
".","Missing",895,10253,NA
