"URDTCCLC.Code.or.Value","URDTCCLC.Value.Description","URDTCCLC.Count","URDTCCLC.Cumulative","URDTCCLC.Skip.to.Item"
"0","At or above the detection limit",187,187,NA
"1","Below lower detection limit",2088,2275,NA
".","Missing",230,2505,NA
