"URDP01LC.Code.or.Value","URDP01LC.Value.Description","URDP01LC.Count","URDP01LC.Cumulative","URDP01LC.Skip.to.Item"
"0","At or above the detection limit",2495,2495,NA
"1","Below lower detection limit",1,2496,NA
".","Missing",222,2718,NA
