"SXQ450.Code.or.Value","SXQ450.Value.Description","SXQ450.Count","SXQ450.Cumulative","SXQ450.Skip.to.Item"
"0 to 20","Range of Values",1443,1443,NA
"77777","Refused",1,1444,NA
"99999","Don't know",2,1446,NA
".","Missing",1839,3285,NA
