"BPXDI4.Code.or.Value","BPXDI4.Value.Description","BPXDI4.Count","BPXDI4.Cumulative","BPXDI4.Skip.to.Item"
"0 to 108","Range of Values",1596,1596,NA
".","Missing",8047,9643,NA
