"DR1TCALC.Code.or.Value","DR1TCALC.Value.Description","DR1TCALC.Count","DR1TCALC.Cumulative","DR1TCALC.Skip.to.Item"
"12 to 5371","Range of Values",8389,8389,NA
".","Missing",949,9338,NA
