"LBX099LA.Code.or.Value","LBX099LA.Value.Description","LBX099LA.Count","LBX099LA.Cumulative","LBX099LA.Skip.to.Item"
"1.6 to 123","Range of Values",2281,2281,NA
".","Missing",266,2547,NA
