"DR1ICALC.Code.or.Value","DR1ICALC.Value.Description","DR1ICALC.Count","DR1ICALC.Cumulative","DR1ICALC.Skip.to.Item"
"0 to 7976","Range of Values",150340,150340,NA
".","Missing",651,150991,NA
