"LBXVE3MS.Code.or.Value","LBXVE3MS.Value.Description","LBXVE3MS.Count","LBXVE3MS.Cumulative","LBXVE3MS.Skip.to.Item"
"1.16 to 37.8","Range of Values",8548,8548,NA
".","Missing",1287,9835,NA
