"WBXP045.Code.or.Value","WBXP045.Value.Description","WBXP045.Count","WBXP045.Cumulative","WBXP045.Skip.to.Item"
"-130.7603 to 170.4665","Range of Values",8551,8551,NA
".","Missing",3,8554,NA
