"DRD370S.Code.or.Value","DRD370S.Value.Description","DRD370S.Count","DRD370S.Cumulative","DRD370S.Skip.to.Item"
"1","Yes",13,13,""
"2","No",2014,2027,"DRD370T"
".","Missing",8450,10477,""
