"FSD170N.Code.or.Value","FSD170N.Value.Description","FSD170N.Count","FSD170N.Cumulative","FSD170N.Skip.to.Item"
"1 to 6","Range of Values",1549,1549,NA
"7","7 or more",60,1609,NA
"77","Refused",0,1609,NA
"99","Don't know",0,1609,NA
".","Missing",9430,11039,NA
