"DR1TP226.Code.or.Value","DR1TP226.Value.Description","DR1TP226.Count","DR1TP226.Cumulative","DR1TP226.Skip.to.Item"
"0 to 6.39","Range of Values",9169,9169,NA
".","Missing",781,9950,NA
