"LBXSPH.Code.or.Value","LBXSPH.Value.Description","LBXSPH.Count","LBXSPH.Cumulative","LBXSPH.Skip.to.Item"
"1.9 to 8.1","Range of Values",6432,6432,NA
".","Missing",548,6980,NA
