"FFQ0103A.Code.or.Value","FFQ0103A.Value.Description","FFQ0103A.Count","FFQ0103A.Cumulative","FFQ0103A.Skip.to.Item"
1,"Almost never or never",3351,3351,NA
2,"About 1/4 of the time",540,3891,NA
3,"About 1/2 of the time",445,4336,NA
4,"About 3/4 of the time",173,4509,NA
5,"Almost always or always",314,4823,NA
88,"Blank",1647,6470,NA
99,"Error",2,6472,NA
