"URDAMCLC.Code.or.Value","URDAMCLC.Value.Description","URDAMCLC.Count","URDAMCLC.Cumulative","URDAMCLC.Skip.to.Item"
"0","At or above the detection limit",2300,2300,NA
"1","Below lower detection limit",4,2304,NA
".","Missing",158,2462,NA
