"LBCBR8LA.Code.or.Value","LBCBR8LA.Value.Description","LBCBR8LA.Count","LBCBR8LA.Cumulative","LBCBR8LA.Skip.to.Item"
"0.2 to 4.7","Range of Values",264,264,NA
".","Missing",0,264,NA
