"DS2TPOTA.Code.or.Value","DS2TPOTA.Value.Description","DS2TPOTA.Count","DS2TPOTA.Cumulative","DS2TPOTA.Skip.to.Item"
"0 to 3200","Range of Values",1025,1025,NA
".","Missing",9228,10253,NA
