"URXMHP.Code.or.Value","URXMHP.Value.Description","URXMHP.Count","URXMHP.Cumulative","URXMHP.Skip.to.Item"
"0.85 to 1966.1","Range of Values",2548,2548,NA
".","Missing",90,2638,NA
