"DXDTOLE.Code.or.Value","DXDTOLE.Value.Description","DXDTOLE.Count","DXDTOLE.Cumulative","DXDTOLE.Skip.to.Item"
"11594.7 to 107867.8","Range of Values",4708,4708,NA
".","Missing",1072,5780,NA
