"DMDHRAGE.Code.or.Value","DMDHRAGE.Value.Description","DMDHRAGE.Count","DMDHRAGE.Cumulative","DMDHRAGE.Skip.to.Item"
"17 to 84","Range of Values",10185,10185,NA
"85",">= 85 years of age",163,10348,NA
".","Missing",0,10348,NA
