"DED038Q.Code.or.Value","DED038Q.Value.Description","DED038Q.Count","DED038Q.Cumulative","DED038Q.Skip.to.Item"
"1 to 15","Range of Values",1170,1170,NA
"0","Never",0,1170,NA
"20","20 or more times",8,1178,NA
"77777","Refused",0,1178,NA
"99999","Don't know",1,1179,NA
".","Missing",1961,3140,NA
