"LBXVEC.Code.or.Value","LBXVEC.Value.Description","LBXVEC.Count","LBXVEC.Cumulative","LBXVEC.Skip.to.Item"
"0.0318 to 0.34","Range of Values",3181,3181,NA
".","Missing",266,3447,NA
