"DRXIZINC.Code.or.Value","DRXIZINC.Value.Description","DRXIZINC.Count","DRXIZINC.Cumulative","DRXIZINC.Skip.to.Item"
"0 to 584.57","Range of Values",127147,127147,NA
".","Missing",693,127840,NA
