"DS1TLYCO.Code.or.Value","DS1TLYCO.Value.Description","DS1TLYCO.Count","DS1TLYCO.Cumulative","DS1TLYCO.Skip.to.Item"
"75 to 15000","Range of Values",397,397,NA
".","Missing",9147,9544,NA
