"DS2IZINC.Code.or.Value","DS2IZINC.Value.Description","DS2IZINC.Count","DS2IZINC.Cumulative","DS2IZINC.Skip.to.Item"
"0.2 to 132","Range of Values",1590,1590,NA
".","Missing",3936,5526,NA
