"DS1TNIAC.Code.or.Value","DS1TNIAC.Value.Description","DS1TNIAC.Count","DS1TNIAC.Cumulative","DS1TNIAC.Skip.to.Item"
"0.1 to 2020","Range of Values",1670,1670,NA
".","Missing",8092,9762,NA
