"DR2BWATZ.Code.or.Value","DR2BWATZ.Value.Description","DR2BWATZ.Count","DR2BWATZ.Cumulative","DR2BWATZ.Skip.to.Item"
"0 to 8217.77","Range of Values",8429,8429,NA
".","Missing",1521,9950,NA
