"WHD120.Code.or.Value","WHD120.Value.Description","WHD120.Count","WHD120.Cumulative","WHD120.Skip.to.Item"
"70 to 390","Range of Values",4049,4049,NA
"7777","Refused",2,4051,NA
"9999","Don't know",116,4167,NA
".","Missing",1972,6139,NA
