"SMD057.Code.or.Value","SMD057.Value.Description","SMD057.Count","SMD057.Cumulative","SMD057.Skip.to.Item"
"2 to 90","Range of Values",1199,1199,NA
"1","1 cigarette or less",103,1302,NA
"95","95 cigarettes or more",3,1305,NA
"777","Refused",0,1305,NA
"999","Don't know",17,1322,NA
".","Missing",5679,7001,NA
