"OHD28LAM.Code.or.Value","OHD28LAM.Value.Description","OHD28LAM.Count","OHD28LAM.Cumulative","OHD28LAM.Skip.to.Item"
"0 to 10","Range of Values",1555,1555,NA
"99","Calculation cannot be determined",228,1783,NA
".","Missing",4975,6758,NA
