"CIQDPF.Code.or.Value","CIQDPF.Value.Description","CIQDPF.Count","CIQDPF.Cumulative","CIQDPF.Skip.to.Item"
"1","Yes",0,0,"CIDDPRB"
"2","No",0,0,"CIDDPRB"
"7","Refuse",0,0,"CIDDPRB"
"9","Don't know",0,0,"CIDDPRB"
".","Missing",778,778,""
