"DR2ISODI.Code.or.Value","DR2ISODI.Value.Description","DR2ISODI.Count","DR2ISODI.Cumulative","DR2ISODI.Skip.to.Item"
"0 to 7671","Range of Values",92726,92726,NA
".","Missing",774,93500,NA
